tract,NAME,pop19,white19,income19,rent19,bachplus19,state,county,GEOID
070500,"Census Tract 705, Suffolk County, Massachusetts",5843,4566,62717,894,0.6490996925779534,25,025,25025070500
070800,"Census Tract 708, Suffolk County, Massachusetts",3597,3222,94653,2394,0.71328,25,025,25025070800
010103,"Census Tract 101.03, Suffolk County, Massachusetts",3686,3107,32464,1800,0.8289738430583501,25,025,25025010103
010104,"Census Tract 101.04, Suffolk County, Massachusetts",5004,4572,58750,2041,0.8237095363079615,25,025,25025010104
010204,"Census Tract 102.04, Suffolk County, Massachusetts",3810,3496,41667,1876,0.8694292415949961,25,025,25025010204
010404,"Census Tract 104.04, Suffolk County, Massachusetts",5135,4683,26875,1894,0.6431192660550459,25,025,25025010404
010405,"Census Tract 104.05, Suffolk County, Massachusetts",6008,5273,19000,669,0.4031954887218045,25,025,25025010405
010203,"Census Tract 102.03, Suffolk County, Massachusetts",5596,4725,41544,2109,0.746828889464147,25,025,25025010203
010408,"Census Tract 104.08, Suffolk County, Massachusetts",1497,1308,66389,1994,0.8532853285328533,25,025,25025010408
010701,"Census Tract 107.01, Suffolk County, Massachusetts",2383,2145,117875,2004,0.9149425287356322,25,025,25025010701
010403,"Census Tract 104.03, Suffolk County, Massachusetts",2753,2303,31071,1894,0.5909542743538767,25,025,25025010403
010702,"Census Tract 107.02, Suffolk County, Massachusetts",2579,2427,163938,2482,0.8818823529411765,25,025,25025010702
010801,"Census Tract 108.01, Suffolk County, Massachusetts",3002,2810,123594,2200,0.8823016564952049,25,025,25025010801
010802,"Census Tract 108.02, Suffolk County, Massachusetts",3238,2880,131518,2198,0.8716496791241978,25,025,25025010802
020101,"Census Tract 201.01, Suffolk County, Massachusetts",4975,4669,118250,2435,0.9200190430849797,25,025,25025020101
020301,"Census Tract 203.01, Suffolk County, Massachusetts",2130,1748,76563,2497,0.8065425831923294,25,025,25025020301
020302,"Census Tract 203.02, Suffolk County, Massachusetts",1089,1028,145625,2338,0.955531453362256,25,025,25025020302
040600,"Census Tract 406, Suffolk County, Massachusetts",3395,3262,142563,2434,0.8104945262363156,25,025,25025040600
051200,"Census Tract 512, Suffolk County, Massachusetts",3033,2050,83952,1676,0.45036915504511893,25,025,25025051200
060800,"Census Tract 608, Suffolk County, Massachusetts",4694,4436,124545,1898,0.7141516076038489,25,025,25025060800
070200,"Census Tract 702, Suffolk County, Massachusetts",5373,5197,28646,869,0.3961448986374211,25,025,25025070200
082000,"Census Tract 820, Suffolk County, Massachusetts",3421,2572,43077,1137,0.32054924242424243,25,025,25025082000
070600,"Census Tract 706, Suffolk County, Massachusetts",2491,2344,160750,2698,0.8711111111111111,25,025,25025070600
081300,"Census Tract 813, Suffolk County, Massachusetts",4885,2720,16226,536,0.23949224259520452,25,025,25025081300
081900,"Census Tract 819, Suffolk County, Massachusetts",3704,2526,27745,1014,0.232829373650108,25,025,25025081900
091100,"Census Tract 911, Suffolk County, Massachusetts",4818,4398,84972,1847,0.5141571844403281,25,025,25025091100
100400,"Census Tract 1004, Suffolk County, Massachusetts",6040,4575,68194,1545,0.245,25,025,25025100400
000302,"Census Tract 3.02, Suffolk County, Massachusetts",3447,3073,101958,2235,0.6834036029129935,25,025,25025000302
000701,"Census Tract 7.01, Suffolk County, Massachusetts",4368,3913,67181,1833,0.7519976324356319,25,025,25025000701
010500,"Census Tract 105, Suffolk County, Massachusetts",3413,2805,54278,2120,0.7761698022190062,25,025,25025010500
030400,"Census Tract 304, Suffolk County, Massachusetts",2336,2186,100281,1903,0.82398753894081,25,025,25025030400
050500,"Census Tract 505, Suffolk County, Massachusetts",2278,1035,58910,1748,0.4547325102880658,25,025,25025050500
070700,"Census Tract 707, Suffolk County, Massachusetts",2676,2445,134085,1969,0.6846528084918178,25,025,25025070700
081200,"Census Tract 812, Suffolk County, Massachusetts",3712,2096,24854,466,0.318019801980198,25,025,25025081200
081700,"Census Tract 817, Suffolk County, Massachusetts",3990,2889,32183,905,0.2187623176980686,25,025,25025081700
091900,"Census Tract 919, Suffolk County, Massachusetts",4528,3103,54375,1458,0.12071888775856222,25,025,25025091900
100200,"Census Tract 1002, Suffolk County, Massachusetts",3328,2787,53269,1728,0.15015015015015015,25,025,25025100200
101002,"Census Tract 1010.02, Suffolk County, Massachusetts",6662,5755,49947,1261,0.18169552507308298,25,025,25025101002
110502,"Census Tract 1105.02, Suffolk County, Massachusetts",4740,3250,98977,1712,0.4674657534246575,25,025,25025110502
110601,"Census Tract 1106.01, Suffolk County, Massachusetts",2997,2681,107012,1161,0.653416149068323,25,025,25025110601
130402,"Census Tract 1304.02, Suffolk County, Massachusetts",4762,4275,73039,-666666666,0.492,25,025,25025130402
140400,"Census Tract 1404, Suffolk County, Massachusetts",9056,7076,62743,1421,0.22034946652234422,25,025,25025140400
000201,"Census Tract 2.01, Suffolk County, Massachusetts",4125,3809,93583,2204,0.6857514638906962,25,025,25025000201
000100,"Census Tract 1, Suffolk County, Massachusetts",5884,5164,90980,1882,0.538006372325899,25,025,25025000100
000202,"Census Tract 2.02, Suffolk County, Massachusetts",4461,3254,79783,1810,0.516185784658691,25,025,25025000202
000301,"Census Tract 3.01, Suffolk County, Massachusetts",3074,2657,126845,2351,0.6542299349240781,25,025,25025000301
000502,"Census Tract 5.02, Suffolk County, Massachusetts",5540,4957,65455,1708,0.8342245989304813,25,025,25025000502
010300,"Census Tract 103, Suffolk County, Massachusetts",5351,4962,43313,1856,0.8342749529190208,25,025,25025010300
050700,"Census Tract 507, Suffolk County, Massachusetts",5607,1667,68384,1775,0.2699248120300752,25,025,25025050700
080300,"Census Tract 803, Suffolk County, Massachusetts",2205,1647,42617,970,0.3067961165048544,25,025,25025080300
080500,"Census Tract 805, Suffolk County, Massachusetts",3600,2074,30047,556,0.18421052631578946,25,025,25025080500
081100,"Census Tract 811, Suffolk County, Massachusetts",4116,3573,57687,1643,0.6052278820375335,25,025,25025081100
091600,"Census Tract 916, Suffolk County, Massachusetts",3089,2573,47317,1378,0.229321446260525,25,025,25025091600
100500,"Census Tract 1005, Suffolk County, Massachusetts",6623,5454,59913,1524,0.3066432028156621,25,025,25025100500
100900,"Census Tract 1009, Suffolk County, Massachusetts",4684,4175,86716,1673,0.3524541691306919,25,025,25025100900
110401,"Census Tract 1104.01, Suffolk County, Massachusetts",3807,2546,64494,1601,0.4104089219330855,25,025,25025110401
091800,"Census Tract 918, Suffolk County, Massachusetts",3579,2748,33784,1381,0.06358645928636779,25,025,25025091800
092000,"Census Tract 920, Suffolk County, Massachusetts",5590,4411,57214,1438,0.18930368016944665,25,025,25025092000
100100,"Census Tract 1001, Suffolk County, Massachusetts",7013,5237,28659,1134,0.17259489138219145,25,025,25025100100
100601,"Census Tract 1006.01, Suffolk County, Massachusetts",6321,5694,76593,1631,0.40479548660084624,25,025,25025100601
100700,"Census Tract 1007, Suffolk County, Massachusetts",4410,4379,96250,1169,0.44643390032826025,25,025,25025100700
101102,"Census Tract 1011.02, Suffolk County, Massachusetts",5265,4445,46080,1712,0.13483502538071065,25,025,25025101102
130200,"Census Tract 1302, Suffolk County, Massachusetts",5026,4801,111808,1761,0.6845129276573518,25,025,25025130200
060600,"Census Tract 606, Suffolk County, Massachusetts",4162,4043,155379,3110,0.8282801881860952,25,025,25025060600
070900,"Census Tract 709, Suffolk County, Massachusetts",3132,2532,53000,1171,0.611062335381914,25,025,25025070900
092400,"Census Tract 924, Suffolk County, Massachusetts",6413,4105,33591,911,0.12355212355212356,25,025,25025092400
030100,"Census Tract 301, Suffolk County, Massachusetts",2243,2033,102426,1816,0.8405956977385549,25,025,25025030100
000602,"Census Tract 6.02, Suffolk County, Massachusetts",4158,3329,40781,1502,0.5663627152988855,25,025,25025000602
082100,"Census Tract 821, Suffolk County, Massachusetts",5998,4141,25125,589,0.150970184571699,25,025,25025082100
060200,"Census Tract 602, Suffolk County, Massachusetts",2103,2054,140592,2447,0.688135593220339,25,025,25025060200
090400,"Census Tract 904, Suffolk County, Massachusetts",4396,2566,38750,913,0.18686502177068215,25,025,25025090400
120500,"Census Tract 1205, Suffolk County, Massachusetts",2850,1654,84850,1554,0.6258034894398531,25,025,25025120500
101001,"Census Tract 1010.01, Suffolk County, Massachusetts",6014,5155,64185,1402,0.16103603603603603,25,025,25025101001
