GEOID,income,rent,pct_white,high_ed,gent_index
250251403003,,5.0,4.0,3.0,
250251403004,5.0,,2.0,4.0,
250251403005,,5.0,5.0,5.0,
250251403006,3.0,3.0,1.0,4.0,11.0
250251404001,,,1.0,4.0,
250251404002,3.0,,4.0,3.0,
250251404003,5.0,3.0,1.0,4.0,13.0
250251404004,1.0,5.0,1.0,1.0,8.0
250251404005,2.0,2.0,2.0,1.0,7.0
250251404006,1.0,2.0,5.0,2.0,10.0
250251404007,1.0,3.0,1.0,1.0,6.0
250251601011,,1.0,1.0,5.0,
250251601012,,3.0,5.0,5.0,
250251601013,4.0,3.0,4.0,1.0,12.0
250251601014,4.0,3.0,2.0,5.0,14.0
250251601015,5.0,3.0,1.0,,
250251602001,3.0,3.0,1.0,1.0,8.0
250251602002,1.0,4.0,1.0,5.0,11.0
250251602003,1.0,3.0,1.0,3.0,8.0
250251603001,1.0,2.0,2.0,3.0,8.0
250251603002,2.0,2.0,1.0,1.0,6.0
250251604001,5.0,5.0,5.0,5.0,20.0
250251604002,3.0,2.0,2.0,3.0,10.0
250251605011,4.0,3.0,5.0,5.0,17.0
250251605012,4.0,5.0,1.0,4.0,14.0
250251605013,4.0,3.0,1.0,5.0,13.0
250251605014,3.0,1.0,5.0,4.0,13.0
250251605015,3.0,2.0,5.0,1.0,11.0
250251605021,1.0,2.0,1.0,1.0,5.0
250251605022,3.0,1.0,1.0,1.0,6.0
250251605023,1.0,4.0,5.0,5.0,15.0
250251606011,2.0,2.0,1.0,3.0,8.0
250251606012,3.0,3.0,1.0,1.0,8.0
250251606021,3.0,1.0,1.0,2.0,7.0
250251606022,2.0,5.0,1.0,1.0,9.0
250251606023,4.0,4.0,1.0,1.0,10.0
250251606024,3.0,1.0,5.0,5.0,14.0
250251606025,4.0,3.0,5.0,4.0,16.0
250251701001,5.0,1.0,1.0,2.0,9.0
250251701002,4.0,,4.0,3.0,
250251701003,2.0,3.0,5.0,3.0,13.0
250251701004,2.0,,1.0,1.0,
250251701005,3.0,2.0,5.0,5.0,15.0
250251701006,1.0,,1.0,1.0,
250251701007,1.0,2.0,1.0,4.0,8.0
250251702001,3.0,4.0,2.0,5.0,14.0
